11/22/2022 06:47:53 PM : SECURITY - User registration [bob@email.com, 127.0.0.1]
11/22/2022 06:48:45 PM : SECURITY - User registration [carol@email.com, 127.0.0.1]
11/22/2022 06:53:51 PM : SECURITY - Invalid Login attempt [bob@email.com, 127.0.0.1]
11/22/2022 06:54:13 PM : SECURITY - Invalid Login attempt [bob@email.com, 127.0.0.1]
11/22/2022 06:54:58 PM : SECURITY - Invalid Login attempt [bob@email.com, 127.0.0.1]
11/22/2022 06:55:21 PM : SECURITY - Invalid Login attempt [bob@email.com, 127.0.0.1]
11/22/2022 06:55:53 PM : SECURITY - Invalid Login attempt [carol@email.com, 127.0.0.1]
11/22/2022 06:59:25 PM : SECURITY - Invalid Login attempt [admin@email.com, 127.0.0.1]
11/22/2022 07:01:43 PM : SECURITY - User registration [bob@email.com, 127.0.0.1]
11/22/2022 07:02:22 PM : SECURITY - User registration [carol@email.com, 127.0.0.1]
11/22/2022 07:13:51 PM : SECURITY - Log in [1, admin@email.com, 127.0.0.1]
11/22/2022 07:13:55 PM : SECURITY - Log out [1, admin@email.com, 127.0.0.1]
11/22/2022 07:14:27 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
11/22/2022 07:15:54 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
11/22/2022 07:16:20 PM : SECURITY - Log in [3, carol@email.com, 127.0.0.1]
11/22/2022 07:16:35 PM : SECURITY - Log out [3, carol@email.com, 127.0.0.1]
11/22/2022 07:18:08 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
11/22/2022 07:18:17 PM : SECURITY - Invalid access attempt [2, bob@email.com, user 127.0.0.1]
11/22/2022 07:18:44 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
11/22/2022 07:19:12 PM : SECURITY - Log in [1, admin@email.com, 127.0.0.1]
11/22/2022 07:20:38 PM : SECURITY - Log out [1, admin@email.com, 127.0.0.1]
11/22/2022 07:21:09 PM : SECURITY - Log in [3, carol@email.com, 127.0.0.1]
11/22/2022 07:21:16 PM : SECURITY - Log out [3, carol@email.com, 127.0.0.1]
11/22/2022 07:21:50 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
11/22/2022 07:21:53 PM : SECURITY - Log out [2, bob@email.com, 127.0.0.1]
11/29/2022 04:01:06 PM : SECURITY - Log in [1, admin@email.com, 127.0.0.1]
11/29/2022 04:03:44 PM : SECURITY - Log out [1, admin@email.com, 127.0.0.1]
11/29/2022 04:04:24 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
11/29/2022 04:41:24 PM : SECURITY - Log in [2, bob@email.com, 127.0.0.1]
